system time,modelled battery use microAh,fuel gauge consumption microAh,adb consumption mAh,Execution Time seconds,Battery Temperature before run in tenth of C,Battery Temperature after run in tenth of C,CPU-therm before run,CPU-therm after run in,average voltage,average percentage,AUT Jiffy,average of all deviations,dev. in length,LOC executed,AUT VM,advance iterations,noWhile,calls,advance total time nano sec,test suite total time nano sec,total number of tests,total number of failed tests,total number of passed tests,averageDeviation_EXPECTED_POSITIONS_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_POSITIONS_CLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_CLAMPED,dev. in length,averageDeviation_testSettingVelocityTriggersIteration,dev. in length,averageDeviation_testSettingCurrentValueWithoutSettingAtRestTriggersIteration,dev. in length,averageDeviation_testSpringMotionWithNoFriction,dev. in length,
1606632338059,2556.0,2556,7.03,62.82,-2147483648,244,-2147483648,244,4303.0,100.0,6196.0,0,0.0,86545,10.023674011230469,3803,0,272,61528033317,6.1548568787E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1606632341807,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,245,-2147483648,245,4302.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606632345491,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,245,-2147483648,245,4302.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606632400167,2051.0,2051,3.169999999999999,50.642002,-2147483648,245,-2147483648,245,4302.0,100.0,4984.0,1.4163151809499672229009092916385270655155181884765625,0.11422341916105894,69448,10.858070373535156,3051,0,229,49351784499,4.937955018E10,8,7,1,0.007944459151268278,0.0,0.12444620736135546,0.0,0.029904803873989763,0.0,0.7293749878190984,0.0,1.2782380789814993,0.2535211267605634,0.015531509895533892,0.32653061224489793,7.728766219567025,0.21951219512195122,
1606632403925,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,246,-2147483648,246,4301.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606632467456,2424.0,2424,3.4000000000000004,59.184,-2147483648,246,-2147483648,246,4301.0,100.0,5815.0,0.9033214283952013534673142203246243298053741455078125,0.034785116873465784,81450,11.010383605957031,3579,0,260,57665199285,5.7694924862E10,8,7,1,0.004729553449354864,0.0,0.07238506022030936,0.0,0.017241545210001614,0.0,0.489130656530244,0.0,0.7696536046101189,0.056338028169014086,0.009618507356701951,0.04081632653061224,4.960491071389679,0.14634146341463414,
1606632534082,2521.0,2521,17.0,62.582,-2147483648,247,-2147483648,247,4294.0,100.0,6179.0,0,0.0,86545,10.159675598144531,3803,0,272,61301372982,6.1321043608E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1606632585130,1945.0,1945,2.6000000000000014,46.963,-2147483648,248,-2147483648,248,4293.0,100.0,4619.0,0.7258127522185675584154296302585862576961517333984375,0.14246153876970133,64460,10.940071105957031,2791,0,222,45669029028,4.569628674E10,8,7,1,0.011427691196221485,0.0,0.13214868454698317,0.0,0.05797425564481105,0.0,0.6660626871301739,0.0,0.7521659887926071,0.2112676056338028,0.022357811450985983,0.3469387755102041,3.4385521467681905,0.43902439024390244,
1606632648240,2405.0,2405,3.1999999999999993,59.153,-2147483648,248,-2147483648,248,4293.0,100.0,5830.0,0.9033214283952013534673142203246243298053741455078125,0.034785116873465784,81450,11.076774597167969,3579,0,260,57837354406,5.7867319256E10,8,7,1,0.004729553449354864,0.0,0.07238506022030936,0.0,0.017241545210001614,0.0,0.489130656530244,0.0,0.7696536046101189,0.056338028169014086,0.009618507356701951,0.04081632653061224,4.960491071389679,0.14634146341463414,
1606632724586,2953.0,2953,3.8000000000000007,72.297005,-2147483648,248,-2147483648,248,4291.0,100.0,7156.0,5.48200162043658423272063373588025569915771484375,0.12558677099931595,100894,11.223075866699219,4374,0,307,70997884678,7.1030588951E10,8,7,1,0.04928099167191744,0.0,0.6145763012297205,0.0,0.1731972564377308,0.0,1.8938544720337391,0.0,7.093907747563025,0.5774647887323944,0.08987031059978474,0.20408163265306123,28.45932426352017,0.0975609756097561,
1606632777454,1987.0,1987,2.6999999999999993,48.546997,-2147483648,248,-2147483648,248,4278.0,100.0,4755.0,0.5375854671783371063753520502359606325626373291015625,0.13056537332506737,66457,10.967155456542969,2878,0,226,47028222238,4.7055177137E10,8,7,1,0.013763148181684594,0.0,0.17317159495232673,0.0,0.07135380033185962,0.0,0.8085201625260251,0.0,0.9875263658045866,0.19718309859154928,0.027019582894021957,0.32653061224489793,1.6817436155578553,0.3902439024390244,
1606632828378,1950.0,1950,2.599999999999998,46.878,-2147483648,249,-2147483648,249,4276.0,100.0,4613.0,0.7258127522185675584154296302585862576961517333984375,0.14246153876970133,64460,11.011146545410156,2791,0,222,45586457459,4.5616402721E10,8,7,1,0.011427691196221485,0.0,0.13214868454698317,0.0,0.05797425564481105,0.0,0.6660626871301739,0.0,0.7521659887926071,0.2112676056338028,0.022357811450985983,0.3469387755102041,3.4385521467681905,0.43902439024390244,
1606632835997,200.0,200,0.30000000000000426,3.595,-2147483648,248,-2147483648,248,4287.0,100.0,291.0,107.0487567644239561559516005218029022216796875,0.4033358939100006,3142,10.858787536621094,3,117,120,2297994551,2.326798357E9,8,7,1,22.527108553513994,0.0,718.5784634066482,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,0.9023290653431498,0.9577464788732394,0.0378782566215282,0.9387755102040817,1.6478539458362473,0.926829268292683,
1606632868499,1193.0,1193,1.6999999999999957,28.425999,-2147483648,248,-2147483648,248,4287.0,99.5,2767.0,1.383310412738785633024463095352984964847564697265625,0.2746644125579761,37936,10.917198181152344,1637,0,169,27153634058,2.718218776E10,8,7,1,0.014583535916734204,0.0,0.20110646309786254,0.0,0.040927905315194364,0.0,1.1463211640305935,0.0,2.3150769498648303,0.647887323943662,0.02319656718137106,0.5918367346938775,5.941960303764914,0.6829268292682927,
1606632918451,1881.0,1881,2.5,45.961,-2147483648,248,-2147483648,248,4282.0,99.0,4520.0,0.83799450598737446060937372749322094023227691650390625,0.15144225231929154,63148,11.022697448730469,2734,0,219,44662093720,4.4694054244E10,8,7,1,0.010581476736990569,0.0,0.1231751850894081,0.0,0.04945588662324043,0.0,0.6703657395389474,0.0,0.8124911726619921,0.22535211267605634,0.02065669583860202,0.3469387755102041,4.17923538542244,0.4878048780487805,
1606632969682,1921.0,1921,2.6000000000000014,47.262,-2147483648,248,-2147483648,248,4283.0,99.0,4644.0,0.7258127522185675584154296302585862576961517333984375,0.14246153876970133,64460,11.139961242675781,2791,0,222,45999524375,4.6027869273E10,8,7,1,0.011427691196221485,0.0,0.13214868454698317,0.0,0.05797425564481105,0.0,0.6660626871301739,0.0,0.7521659887926071,0.2112676056338028,0.022357811450985983,0.3469387755102041,3.4385521467681905,0.43902439024390244,
1606632990996,240.0,240,1.3999999999999986,3.894,-2147483648,249,-2147483648,249,4281.0,99.0,318.0,26.577328395901762547737234854139387607574462890625,0.38942765603075896,3445,10.964103698730469,10,115,125,2520172333,2.547470932E9,8,7,1,8.801622837765777,0.0,166.12015738915994,0.0,0.5448011764763615,0.0,5.182175250426501,0.0,1.7982476120858946,0.9295774647887324,0.05299549353159886,0.9183673469387755,3.541299011866272,0.8780487804878049,
1606632998511,187.0,187,0.5,3.5,-2147483648,249,-2147483648,249,4281.0,99.0,285.0,1.3163251758986429518216709766420535743236541748046875,0.40883228690209955,3040,10.959465026855469,1,117,118,2246501317,2.269686685E9,8,7,1,0.9951329820988991,0.0,1.1431919701021271,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,0.5002469107683888,0.971830985915493,0.03830487200679694,0.9387755102040817,0.8897353733096897,0.9512195121951219,
1606633006355,193.0,193,0.3999999999999986,3.73,-2147483648,249,-2147483648,249,4281.0,99.0,283.0,1.2685524963136847187428202232695184648036956787109375,0.40883228690209955,3040,10.969825744628906,1,117,118,2215003918,2.2417059E9,8,7,1,1.0717485438720002,0.0,0.7321568609989577,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,0.5002469107683888,0.971830985915493,0.038315662242157905,0.9387755102040817,0.8897353733096897,0.9512195121951219,
1606633052030,1715.0,1715,2.3000000000000043,41.327,-2147483648,249,-2147483648,249,4281.0,99.0,4061.0,0.987108529658282662921919836662709712982177734375,0.1618661696410419,56664,11.166160583496094,2450,0,215,40065427273,4.0098569411E10,8,7,1,0.010161706672164204,0.0,0.11835799304188413,0.0,0.0405480792405061,0.0,0.6667661851257641,0.0,1.0245780047985487,0.2535211267605634,0.019538038457172047,0.3673469387755102,5.029809700271939,0.5121951219512195,
1606633102144,1878.0,1878,2.6000000000000014,46.013,-2147483648,249,-2147483648,249,4279.0,99.0,4520.0,0.83799450598737446060937372749322094023227691650390625,0.15144225231929154,63148,11.197532653808594,2734,0,219,44735008987,4.476303545E10,8,7,1,0.010581476736990569,0.0,0.1231751850894081,0.0,0.04945588662324043,0.0,0.6703657395389474,0.0,0.8124911726619921,0.22535211267605634,0.02065669583860202,0.3469387755102041,4.17923538542244,0.4878048780487805,
1606633147570,1692.0,1692,2.299999999999997,41.328,-2147483648,249,-2147483648,249,4270.0,99.0,4060.0,0.987108529658282662921919836662709712982177734375,0.1618661696410419,56664,11.389640808105469,2450,0,215,40042294875,4.006980441E10,8,7,1,0.010161706672164204,0.0,0.11835799304188413,0.0,0.0405480792405061,0.0,0.6667661851257641,0.0,1.0245780047985487,0.2535211267605634,0.019538038457172047,0.3673469387755102,5.029809700271939,0.5121951219512195,
1606633193059,1702.0,1702,2.3999999999999986,41.468998,-2147483648,249,-2147483648,249,4262.0,99.0,4073.0,0.987108529658282662921919836662709712982177734375,0.1618661696410419,56664,11.168144226074219,2450,0,215,40202767286,4.0231970049E10,8,7,1,0.010161706672164204,0.0,0.11835799304188413,0.0,0.0405480792405061,0.0,0.6667661851257641,0.0,1.0245780047985487,0.2535211267605634,0.019538038457172047,0.3673469387755102,5.029809700271939,0.5121951219512195,
1606633200666,232.0,232,0.5,3.587,-2147483648,249,-2147483648,249,4262.0,99.0,293.0,1.458710969207453356233372687711380422115325927734375,0.40883228690209955,3040,11.245445251464844,1,117,118,2254683820,2.279347205E9,8,7,1,0.975801749163615,0.0,2.1592889389619674,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,0.5002469107683888,0.971830985915493,0.03823968924391324,0.9387755102040817,0.8897353733096897,0.9512195121951219,
1606633208712,185.0,185,0.30000000000000426,3.396,-2147483648,249,-2147483648,249,4262.0,99.0,276.0,1045.943828192729370130109600722789764404296875,0.4033358939100006,2902,10.978233337402344,3,117,120,2129471982,2.1568386E9,8,7,1,230.43641543104386,0.0,7082.934632548315,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,0.9023290653431498,0.9577464788732394,0.03790223556212078,0.9387755102040817,1.6478539458362473,0.926829268292683,
1606633216152,178.0,178,0.3999999999999986,3.454,-2147483648,249,-2147483648,249,4282.0,99.0,282.0,1648.004736036979238633648492395877838134765625,0.4004204420149568,2975,8.177894592285156,5,116,121,2199189854,2.227280534E9,8,7,1,259.7133015046866,0.0,11268.068097216385,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,0.9023290653431498,0.9577464788732394,0.053906403596967835,0.9183673469387755,1.6478539458362473,0.926829268292683,
1606633219852,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,249,-2147483648,249,4282.0,99.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606633227219,197.0,197,0.6000000000000014,3.493,-2147483648,249,-2147483648,249,4282.0,99.0,284.0,1.2647088118904818987431326604564674198627471923828125,0.40883228690209955,3040,11.289741516113281,1,117,118,2215665220,2.243248139E9,8,7,1,0.9506919783620857,0.0,0.8264839511439237,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,0.5002469107683888,0.971830985915493,0.0381393466446866,0.9387755102040817,0.8897353733096897,0.9512195121951219,
1606633261403,1242.0,1242,1.7999999999999972,30.071001,-2147483648,249,-2147483648,249,4282.0,99.0,2937.0,1.2759786324296433779323933777050115168094635009765625,0.2482731130436176,40595,8.413475036621094,1751,0,182,28802980265,2.883277631E10,8,7,1,0.012026902521380329,0.0,0.1503504709296206,0.0,0.03127385540728092,0.0,0.8523986363557716,0.0,1.950254575749993,0.4507042253521127,0.014651690024646266,0.6530612244897959,5.920894296018811,0.6341463414634146,
1606633269058,192.0,192,0.3999999999999986,3.616,-2147483648,249,-2147483648,249,4282.0,99.0,296.0,360.4606828387408086200593970715999603271484375,0.4004204420149568,3217,11.275321960449219,5,116,121,2338219557,2.366599665E9,8,7,1,56.22880949327895,0.0,2458.744186738267,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,0.9023290653431498,0.9577464788732394,0.05393650545537514,0.9183673469387755,1.6478539458362473,0.926829268292683,
1606633272754,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,249,-2147483648,249,4270.0,99.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606633381803,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,249,-2147483648,249,4270.0,99.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606633427316,1691.0,1691,8.399999999999999,41.537,-2147483648,249,-2147483648,249,4249.0,99.0,4079.0,0.987108529658282662921919836662709712982177734375,0.1618661696410419,56664,8.470024108886719,2450,0,215,40237181769,4.0267271406E10,8,7,1,0.010161706672164204,0.0,0.11835799304188413,0.0,0.0405480792405061,0.0,0.6667661851257641,0.0,1.0245780047985487,0.2535211267605634,0.019538038457172047,0.3673469387755102,5.029809700271939,0.5121951219512195,
1606633472900,1681.0,1681,2.299999999999997,41.423,-2147483648,249,-2147483648,249,4271.0,98.5,4068.0,0.987108529658282662921919836662709712982177734375,0.1618661696410419,56664,8.446800231933594,2450,0,215,40144722229,4.0170945982E10,8,7,1,0.010161706672164204,0.0,0.11835799304188413,0.0,0.0405480792405061,0.0,0.6667661851257641,0.0,1.0245780047985487,0.2535211267605634,0.019538038457172047,0.3673469387755102,5.029809700271939,0.5121951219512195,
1606633581744,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,249,-2147483648,249,4268.0,98.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606633619706,1399.0,1399,7.6000000000000085,33.947,-2147483648,249,-2147483648,249,4252.0,98.0,3326.0,1.1612024618216862936748157153488136827945709228515625,0.24274767570079514,46107,8.414009094238281,1993,0,183,32681328099,3.2709187374E10,8,7,1,0.010320205955709752,0.0,0.11599659136800923,0.0,0.03034641932087598,0.0,0.644802772950617,0.0,1.4446099683588685,0.4647887323943662,0.012052277186343623,0.673469387755102,5.87028899761138,0.5609756097560976,
1606633673649,2070.0,2070,2.799999999999997,49.732998,-2147483648,249,-2147483648,249,4252.0,98.0,4901.0,0.5015269220825488982740125720738433301448822021484375,0.11866920788043342,68391,8.531776428222656,2962,0,230,48462577901,4.8493397642E10,8,7,1,0.01632455856653219,0.0,0.21504425756934367,0.0,0.08214411978996877,0.0,0.9557098484138997,0.0,1.377299597342938,0.18309859154929578,0.0320216269177173,0.30612244897959184,0.832144445977443,0.34146341463414637,
1606633719041,1749.0,1749,2.299999999999997,41.304,-2147483648,249,-2147483648,249,4251.0,98.0,4060.0,0.987108529658282662921919836662709712982177734375,0.1618661696410419,56664,8.526618957519531,2450,0,215,40034743937,4.0063735866E10,8,7,1,0.010161706672164204,0.0,0.11835799304188413,0.0,0.0405480792405061,0.0,0.6667661851257641,0.0,1.0245780047985487,0.2535211267605634,0.019538038457172047,0.3673469387755102,5.029809700271939,0.5121951219512195,
1606633770771,1422.0,1422,3.0,34.009,-2147483648,249,-2147483648,249,4253.0,98.0,3328.0,1.0580267941463781244948449966614134609699249267578125,0.24274767570079514,46107,9.572067260742188,1993,0,183,32734920294,3.2760190192E10,8,7,1,0.010058361732767154,0.0,0.11654045435503836,0.0,0.03281585770815984,0.0,0.6555119667268454,0.0,1.2736641297138735,0.4647887323943662,0.012522718240427605,0.673469387755102,5.305074070547534,0.5609756097560976,
1606633780945,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,249,-2147483648,249,4260.0,98.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606633822633,1547.0,1547,3.0,37.682,-2147483648,249,-2147483648,249,4260.0,98.0,3689.0,0.94036453057001334610021103799226693809032440185546875,0.19553157671764784,51375,9.59698486328125,2221,0,199,36371814976,3.6397861388E10,8,7,1,0.010161706672164204,0.0,0.11835799304188413,0.0,0.0405480792405061,0.0,0.6667661851257641,0.0,1.0122875293546894,0.4647887323943662,0.019538038457172047,0.3673469387755102,4.7148921820979135,0.5365853658536586,
1606633868063,1729.0,1729,2.299999999999997,41.461998,-2147483648,249,-2147483648,249,4256.0,98.0,4070.0,0.987108529658282662921919836662709712982177734375,0.1618661696410419,56664,9.614547729492188,2450,0,215,40188899733,4.0214728849E10,8,7,1,0.010161706672164204,0.0,0.11835799304188413,0.0,0.0405480792405061,0.0,0.6667661851257641,0.0,1.0245780047985487,0.2535211267605634,0.019538038457172047,0.3673469387755102,5.029809700271939,0.5121951219512195,
1606633906147,1382.0,1382,2.0,33.967,-2147483648,249,-2147483648,249,4254.0,98.0,3327.0,1.0404059545202495318250157652073539793491363525390625,0.24274767570079514,46107,9.577651977539063,1993,0,183,32707467635,3.2732295135E10,8,7,1,0.0100575737437794,0.0,0.1166750938470121,0.0,0.033554510247336154,0.0,0.6570639766803142,0.0,1.244225558714276,0.4647887323943662,0.012685913298303004,0.673469387755102,5.208579055110726,0.5609756097560976,
1606633956229,1900.0,1900,2.6000000000000085,46.013,-2147483648,249,-2147483648,249,4254.0,98.0,4518.0,0.324482535392338178326099296100437641143798828125,0.17866081506460366,62890,9.616287231445313,2763,0,208,44734084718,4.4759813521E10,8,7,1,0.0030182373734885582,0.0,0.045622663977882255,0.0,0.010879641016120906,0.0,0.19643208951220792,0.0,0.49302954340490607,0.30985915492957744,0.005775075707872254,0.42857142857142855,1.516620496753889,0.5121951219512195,
1606633997976,1579.0,1579,2.0999999999999943,37.692997,-2147483648,249,-2147483648,249,4253.0,98.0,3699.0,0.94036453057001334610021103799226693809032440185546875,0.19553157671764784,51375,9.600082397460938,2221,0,199,36448615455,3.647424358E10,8,7,1,0.010161706672164204,0.0,0.11835799304188413,0.0,0.0405480792405061,0.0,0.6667661851257641,0.0,1.0122875293546894,0.4647887323943662,0.019538038457172047,0.3673469387755102,4.7148921820979135,0.5365853658536586,
1606634001687,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,249,-2147483648,249,4254.0,98.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606634005922,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,249,-2147483648,249,4254.0,98.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606634013680,202.0,202,0.9000000000000057,3.8579998,-2147483648,249,-2147483648,249,4243.0,98.0,322.0,2.094469510216611762842831012676469981670379638671875,0.3810158111436163,3550,9.516891479492188,11,117,128,2600563748,2.62941203E9,8,7,1,1.060106862596568,0.0,1.1170690394875527,0.0,0.5444730884242047,0.0,5.025397405053899,0.0,2.233660889382422,0.9154929577464789,0.06671860192579024,0.8979591836734694,4.613860684645846,0.8536585365853658,
1606634031080,577.0,577,0.8999999999999915,13.449,-2147483648,249,-2147483648,249,4243.0,98.0,1281.0,1.327263320963461001866789956693537533283233642578125,0.17670182368476664,17063,9.632843017578125,559,0,212,12199191425,1.2225972E10,8,7,1,0.02416011955660191,0.0,0.2702048154191953,0.0,0.12352700636675644,0.0,1.1515536933126025,0.0,1.4399236486587432,0.14084507042253522,0.04253553929851384,0.6326530612244898,6.238938424131814,0.4634146341463415,
1606634065524,1270.0,1270,1.7000000000000028,30.332,-2147483648,249,-2147483648,249,4243.0,98.0,2961.0,1.2555093335642981688948793816962279379367828369140625,0.2488419817060652,40914,9.585723876953125,1765,0,182,29052462218,2.907702498E10,8,7,1,0.012459274405322757,0.0,0.16023518627870442,0.0,0.032495364647385554,0.0,0.9083860673851865,0.0,2.0429463198906324,0.4507042253521127,0.01687673228039353,0.6326530612244898,5.615166390062463,0.6585365853658537,
1606634109217,1661.0,1661,2.299999999999997,39.687,-2147483648,249,-2147483648,249,4246.0,97.5,3904.0,0.82312970429790810467096662250696681439876556396484375,0.20154976649343545,54225,9.596771240234375,2379,0,200,38421013671,3.8445795861E10,8,7,1,0.008618026621179086,0.0,0.13560266071652025,0.0,0.03263646738179723,0.0,0.7851978419145068,0.0,1.3831552636869107,0.352112676056338,0.016541479441098888,0.4489795918367347,3.4001561903233437,0.6097560975609756,
1606634150970,1549.0,1549,1.9000000000000057,37.625,-2147483648,249,-2147483648,249,4252.0,97.0,3693.0,0.94036453057001334610021103799226693809032440185546875,0.19553157671764784,51375,9.698280334472656,2221,0,199,36347469716,3.6376029769E10,8,7,1,0.010161706672164204,0.0,0.11835799304188413,0.0,0.0405480792405061,0.0,0.6667661851257641,0.0,1.0122875293546894,0.4647887323943662,0.019538038457172047,0.3673469387755102,4.7148921820979135,0.5365853658536586,
1606634195273,1653.0,1653,3.0,39.783,-2147483648,249,-2147483648,249,4242.0,97.0,3904.0,0.8786590144561596815719894948415458202362060546875,0.20154976649343545,54225,9.688018798828125,2379,0,200,38479404927,3.8510617067E10,8,7,1,0.009153248841622467,0.0,0.144547368936342,0.0,0.03484276764000399,0.0,0.8313602967231913,0.0,1.4682721793124933,0.352112676056338,0.01759058778129056,0.4489795918367347,3.6448466519581744,0.6097560975609756,
1606634236979,1585.0,1585,2.0,37.772,-2147483648,249,-2147483648,249,4242.0,97.0,3708.0,0.94036453057001334610021103799226693809032440185546875,0.19553157671764784,51375,9.681915283203125,2221,0,199,36511152440,3.6536623328E10,8,7,1,0.010161706672164204,0.0,0.11835799304188413,0.0,0.0405480792405061,0.0,0.6667661851257641,0.0,1.0122875293546894,0.4647887323943662,0.019538038457172047,0.3673469387755102,4.7148921820979135,0.5365853658536586,
1606634273142,1352.0,1352,2.0,32.135002,-2147483648,249,-2147483648,249,4249.0,97.0,3149.0,1.009932660968857032202095069806091487407684326171875,0.27606054445137723,43669,9.626930236816406,1915,0,171,30889080524,3.0916683288E10,8,7,1,0.012207055318539222,0.0,0.1963945387585433,0.0,0.048126550566229054,0.0,1.1153174013805225,0.0,1.9177957585349756,0.5352112676056338,0.012602429802061159,0.7142857142857143,3.767084892421128,0.6829268292682927,
1606634283329,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,248,-2147483648,248,4247.0,97.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606634321131,1420.0,1420,2.0,33.830997,-2147483648,248,-2147483648,248,4247.0,97.0,3316.0,1.0474943714872921862735211107064969837665557861328125,0.24274767570079514,46107,9.648612976074219,1993,0,183,32565016317,3.2597099186E10,8,7,1,0.010058110610025352,0.0,0.11662125732800915,0.0,0.033257966996784745,0.0,0.6564424667710421,0.0,1.256078830002724,0.4647887323943662,0.012629950669093424,0.673469387755102,5.247372018033366,0.5609756097560976,
1606634369538,1841.0,1841,3.0,44.331997,-2147483648,248,-2147483648,248,4247.0,97.0,4350.0,0.4585475567021024545510954339988529682159423828125,0.1880000761162295,60494,9.718399047851563,2620,0,207,43058429029,4.3087155907E10,8,7,1,0.01597957575883936,0.0,0.20976125848856395,0.0,0.08082536004573164,0.0,0.9376441734397115,0.0,1.3223962489200483,0.18309859154929578,0.02249611387385471,0.6938775510204082,0.6207301663879677,0.43902439024390244,
1606634411110,1574.0,1574,2.0,37.575,-2147483648,249,-2147483648,249,4234.0,97.0,3681.0,0.94036453057001334610021103799226693809032440185546875,0.19553157671764784,51375,9.751075744628906,2221,0,199,36298628407,3.6327835026E10,8,7,1,0.010161706672164204,0.0,0.11835799304188413,0.0,0.0405480792405061,0.0,0.6667661851257641,0.0,1.0122875293546894,0.4647887323943662,0.019538038457172047,0.3673469387755102,4.7148921820979135,0.5365853658536586,
1606634482622,2768.0,2768,4.0,67.454,-2147483648,248,-2147483648,248,4244.0,97.0,6675.0,5.68982693270720307765486722928471863269805908203125,0.07636460875757281,93316,10.234260559082031,4046,0,284,66180498625,6.6208974565E10,8,7,1,0.05083621934422185,0.0,0.6304391800625306,0.0,0.17659012543635333,0.0,1.9220009706390533,0.0,7.377784192394204,0.28169014084507044,0.09238404687722253,0.20408163265306123,29.57875379419683,0.04878048780487805,
1606634500206,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,248,-2147483648,248,4238.0,97.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
