system time,modelled battery use nWh,fuel gauge consumption nWh,adb consumption mAh,Execution Time seconds,Battery Temperature before run in tenth of C,Battery Temperature after run in tenth of C,CPU-therm before run,CPU-therm after run in,average voltage,average percentage,AUT Jiffy,average of all deviations,dev. in length,LOC executed,AUT VM,advance iterations,noWhile,calls,advance total time nano sec,test suite total time nano sec,total number of tests,total number of failed tests,total number of passed tests,averageDeviation_EXPECTED_POSITIONS_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_POSITIONS_CLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_CLAMPED,dev. in length,averageDeviation_testSettingVelocityTriggersIteration,dev. in length,averageDeviation_testSettingCurrentValueWithoutSettingAtRestTriggersIteration,dev. in length,averageDeviation_testSpringMotionWithNoFriction,dev. in length,
1606514435102,2.3350671E7,23350671,16.3,31.916,-2147483648,27200,-2147483648,27200,4253.0,100.0,3117.0,0,0.0,86545,10.586669921875,3803,0,272,30650283726,3.0667162725E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1606514465630,2.0783344E7,20783344,7.5,27.782001,-2147483648,27700,-2147483648,27700,4253.0,100.0,2716.0,1.0394581287487836274152641635737381875514984130859375,0.06935390341050784,75267,11.35858154296875,3307,0,244,26620370657,2.6642674826E10,8,7,1,0.005582206469990871,0.0,0.0859783877579971,0.0,0.020532122353909225,0.0,0.54871122495361,0.0,0.9045481272758927,0.2535211267605634,0.011351864885219652,0.061224489795918366,5.699502967544865,0.17073170731707318,
1606514500086,2.3762052E7,23762052,8.400000000000002,31.74,-2147483648,28000,-2147483648,28000,4253.0,100.0,3111.0,0,0.0,86545,10.6353759765625,3803,0,272,30578995801,3.0594675552E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1606514534688,2.3814917E7,23814917,40.9,31.841,-2147483648,28400,-2147483648,28400,4253.0,100.0,3113.0,0,0.0,86545,10.633163452148438,3803,0,272,30622188972,3.0637853308E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1606514540520,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,28400,-2147483648,28400,4253.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606514567304,1.8247572E7,18247572,7.899999999999999,24.229,-2147483648,28600,-2147483648,28600,4253.0,100.0,2357.0,0.000007864228098263861867493924873162569610940408892929553985595703125,0.1632803290624784,65069,11.04083251953125,2859,0,213,23071120886,2.3089593386E10,8,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6497072018544162E-5,0.29577464788732394,3.8552524669302876E-5,0.40816326530612246,0.0,0.43902439024390244,
1606514601708,2.3841024E7,23841024,8.5,31.720999,-2147483648,28800,-2147483648,28800,4253.0,100.0,3110.0,0,0.0,86545,10.642929077148438,3803,0,272,30580945217,3.0596300386E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1606514604308,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,28900,-2147483648,28900,4253.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606514631664,1.8780963E7,18780963,7.299999999999997,24.808,-2147483648,28900,-2147483648,28900,4253.0,100.0,2419.0,0.5075965873031833552886382676661014556884765625,0.15429961551288818,66879,11.412933349609375,2939,0,216,23645590859,2.3666469611E10,8,7,1,0.004049513958408924,0.0,0.05899557097802603,0.0,0.013973204694913666,0.0,0.22842130029179433,0.0,0.672833486779007,0.28169014084507044,0.00748131853354388,0.40816326530612246,2.5674217158865895,0.3902439024390244,
1606514658520,1.8284334E7,18284334,6.5,24.188,-2147483648,29100,-2147483648,29100,4253.0,99.5,2356.0,0.000007864228098263861867493924873162569610940408892929553985595703125,0.1632803290624784,65069,11.0665283203125,2859,0,213,23041626298,2.3063355719E10,8,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6497072018544162E-5,0.29577464788732394,3.8552524669302876E-5,0.40816326530612246,0.0,0.43902439024390244,
